Tabela;Campo;Elemento dados;Tipo dados;Compri;Casas decimais;Descrição Breve;Grupo;unity_catalog_path;business_name;table_description
BKPF;GLVOR;;STRING;;;Business transaction code describing the type of accounting event.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Business Transaction;Accounting Document Header (FI). One record per accounting document.
BKPF;GRPID;;STRING;;;SAP technical field (GRPID). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Grpid;Accounting Document Header (FI). One record per accounting document.
BKPF;HWAE2;;STRING;;;SAP technical field (HWAE2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Hwae2;Accounting Document Header (FI). One record per accounting document.
BKPF;HWAE3;;STRING;;;SAP technical field (HWAE3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Hwae3;Accounting Document Header (FI). One record per accounting document.
BKPF;HWAER;;STRING;;;SAP technical field (HWAER). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Hwaer;Accounting Document Header (FI). One record per accounting document.
BKPF;IBLAR;;STRING;;;SAP technical field (IBLAR). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Iblar;Accounting Document Header (FI). One record per accounting document.
BKPF;INTDATE;;STRING;;;SAP technical field (INTDATE). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Intdate;Accounting Document Header (FI). One record per accounting document.
BKPF;INTFORM;;STRING;;;SAP technical field (INTFORM). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Intform;Accounting Document Header (FI). One record per accounting document.
BKPF;KNUMV;;STRING;;;Internal key for the pricing condition record set for this document. Links to KONV.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Condition Record No;Accounting Document Header (FI). One record per accounting document.
BKPF;KUR2X;;DOUBLE;;;SAP technical field (KUR2X). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kur2X;Accounting Document Header (FI). One record per accounting document.
BKPF;KUR3X;;DOUBLE;;;SAP technical field (KUR3X). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kur3X;Accounting Document Header (FI). One record per accounting document.
BKPF;KURS2;;DOUBLE;;;SAP technical field (KURS2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kurs2;Accounting Document Header (FI). One record per accounting document.
BKPF;KURS3;;DOUBLE;;;SAP technical field (KURS3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kurs3;Accounting Document Header (FI). One record per accounting document.
BKPF;KURSF;;DOUBLE;;;Exchange rate for SD document billing.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Exchange Rate (SD);Accounting Document Header (FI). One record per accounting document.
BKPF;KURST;;STRING;;;Type of exchange rate used (M=Average, B=Bank Buying, G=Bank Selling).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Exchange Rate Type;Accounting Document Header (FI). One record per accounting document.
BKPF;KURSX;;DOUBLE;;;SAP technical field (KURSX). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kursx;Accounting Document Header (FI). One record per accounting document.
BKPF;KUTY2;;STRING;;;SAP technical field (KUTY2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kuty2;Accounting Document Header (FI). One record per accounting document.
BKPF;KUTY3;;STRING;;;SAP technical field (KUTY3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kuty3;Accounting Document Header (FI). One record per accounting document.
BKPF;KZKRS;;DOUBLE;;;SAP technical field (KZKRS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kzkrs;Accounting Document Header (FI). One record per accounting document.
BKPF;KZWRS;;STRING;;;SAP technical field (KZWRS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Kzwrs;Accounting Document Header (FI). One record per accounting document.
BKPF;LDGRP;;STRING;;;SAP technical field (LDGRP). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Ldgrp;Accounting Document Header (FI). One record per accounting document.
BKPF;LOTKZ;;STRING;;;SAP technical field (LOTKZ). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Lotkz;Accounting Document Header (FI). One record per accounting document.
BKPF;MANDT;;STRING;;;SAP client (mandant) code. Partition key for all SAP tables. Always '100' for this dataset.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Client;Accounting Document Header (FI). One record per accounting document.
BKPF;MONAT;;STRING;;;SAP technical field (MONAT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Monat;Accounting Document Header (FI). One record per accounting document.
BKPF;MONTH;;INT;;;Partition month (integer). Part of the Delta Lake partition scheme: YEAR/MONTH/DAY.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Month;Accounting Document Header (FI). One record per accounting document.
BKPF;NUMPG;;STRING;;;SAP technical field (NUMPG). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Numpg;Accounting Document Header (FI). One record per accounting document.
BKPF;OFFSET_REFER_DAT;;STRING;;;SAP technical field (OFFSET_REFER_DAT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Offset Refer Dat;Accounting Document Header (FI). One record per accounting document.
BKPF;OFFSET_STATUS;;STRING;;;SAP technical field (OFFSET_STATUS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Offset Status;Accounting Document Header (FI). One record per accounting document.
BKPF;OINETNUM;;STRING;;;SAP technical field (OINETNUM). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Oinetnum;Accounting Document Header (FI). One record per accounting document.
BKPF;OININD;;STRING;;;SAP technical field (OININD). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Oinind;Accounting Document Header (FI). One record per accounting document.
BKPF;OINJAHR;;STRING;;;SAP technical field (OINJAHR). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Oinjahr;Accounting Document Header (FI). One record per accounting document.
BKPF;PENRC;;STRING;;;SAP technical field (PENRC). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Penrc;Accounting Document Header (FI). One record per accounting document.
BKPF;PPNAM;;STRING;;;Username of the person who parked (pre-posted) this document.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Parked By;Accounting Document Header (FI). One record per accounting document.
BKPF;PROPMANO;;STRING;;;SAP technical field (PROPMANO). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Propmano;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOAK;;STRING;;;SAP technical field (PSOAK). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psoak;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOBT;;STRING;;;SAP technical field (PSOBT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psobt;Accounting Document Header (FI). One record per accounting document.
BKPF;PSODT;;STRING;;;SAP technical field (PSODT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psodt;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOFN;;STRING;;;SAP technical field (PSOFN). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psofn;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOKS;;STRING;;;SAP technical field (PSOKS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psoks;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOSG;;STRING;;;SAP technical field (PSOSG). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psosg;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOTM;;STRING;;;SAP technical field (PSOTM). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psotm;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOTY;;STRING;;;SAP technical field (PSOTY). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psoty;Accounting Document Header (FI). One record per accounting document.
BKPF;PSOZL;;STRING;;;SAP technical field (PSOZL). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Psozl;Accounting Document Header (FI). One record per accounting document.
BKPF;RECHN;;STRING;;;SAP technical field (RECHN). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Rechn;Accounting Document Header (FI). One record per accounting document.
BKPF;REINDAT;;STRING;;;Incoming invoice date for vendor invoice documents.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Invoice Date;Accounting Document Header (FI). One record per accounting document.
BKPF;RLDNR;;STRING;;;SAP technical field (RLDNR). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Rldnr;Accounting Document Header (FI). One record per accounting document.
BKPF;SAMPLED;;STRING;;;SAP technical field (SAMPLED). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Sampled;Accounting Document Header (FI). One record per accounting document.
BKPF;SAPF15_STATUS;;STRING;;;SAP technical field (SAPF15_STATUS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Sapf15 Status;Accounting Document Header (FI). One record per accounting document.
BKPF;SNAME;;STRING;;;SAP technical field (SNAME). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Sname;Accounting Document Header (FI). One record per accounting document.
BKPF;SSBLK;;STRING;;;SAP technical field (SSBLK). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Ssblk;Accounting Document Header (FI). One record per accounting document.
BKPF;STBLG;;STRING;;;Document number of the reversal document. Non-empty means this document has been reversed.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Reversal Document;Accounting Document Header (FI). One record per accounting document.
BKPF;STGRD;;STRING;;;SAP technical field (STGRD). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Stgrd;Accounting Document Header (FI). One record per accounting document.
BKPF;STJAH;;STRING;;;SAP technical field (STJAH). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Stjah;Accounting Document Header (FI). One record per accounting document.
BKPF;STODT;;STRING;;;Planned date for automatic reversal of an accrual document.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Planned Reversal Date;Accounting Document Header (FI). One record per accounting document.
BKPF;SUBSET;;STRING;;;SAP technical field (SUBSET). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Subset;Accounting Document Header (FI). One record per accounting document.
BKPF;TCODE;;STRING;;;SAP transaction code under which the record was created or last changed (e.g. VA01, ME21N).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Transaction Code;Accounting Document Header (FI). One record per accounting document.
BKPF;TS_LOAD;;TIMESTAMP;;;UTC timestamp when the record was last loaded into the Data Lake (Bronze layer). Used for incremental control.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Load Timestamp;Accounting Document Header (FI). One record per accounting document.
BKPF;TXKRS;;DOUBLE;;;SAP technical field (TXKRS). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Txkrs;Accounting Document Header (FI). One record per accounting document.
BKPF;UMRD2;;STRING;;;SAP technical field (UMRD2). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Umrd2;Accounting Document Header (FI). One record per accounting document.
BKPF;UMRD3;;STRING;;;SAP technical field (UMRD3). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Umrd3;Accounting Document Header (FI). One record per accounting document.
BKPF;UPDDT;;STRING;;;SAP technical field (UPDDT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Upddt;Accounting Document Header (FI). One record per accounting document.
BKPF;USNAM;;STRING;;;SAP username of the person who created or last changed the document.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;User Name;Accounting Document Header (FI). One record per accounting document.
BKPF;VATDATE;;STRING;;;SAP technical field (VATDATE). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Vatdate;Accounting Document Header (FI). One record per accounting document.
BKPF;WAERS;;STRING;;;Currency key (3-char ISO code). Used in purchasing and FI documents.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Currency;Accounting Document Header (FI). One record per accounting document.
BKPF;WWERT;;STRING;;;Date used for currency translation to group/reporting currency.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Translation Date;Accounting Document Header (FI). One record per accounting document.
BKPF;XBLNR;;STRING;;;External document reference number (e.g. vendor invoice number).;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;External Document Ref;Accounting Document Header (FI). One record per accounting document.
BKPF;XBLNR_ALT;;STRING;;;SAP technical field (XBLNR_ALT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xblnr Alt;Accounting Document Header (FI). One record per accounting document.
BKPF;XMCA;;STRING;;;SAP technical field (XMCA). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xmca;Accounting Document Header (FI). One record per accounting document.
BKPF;XMWST;;STRING;;;SAP technical field (XMWST). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xmwst;Accounting Document Header (FI). One record per accounting document.
BKPF;XNETB;;STRING;;;SAP technical field (XNETB). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xnetb;Accounting Document Header (FI). One record per accounting document.
BKPF;XREF1_HD;;STRING;;;SAP technical field (XREF1_HD). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xref1 Hd;Accounting Document Header (FI). One record per accounting document.
BKPF;XREF2_HD;;STRING;;;SAP technical field (XREF2_HD). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xref2 Hd;Accounting Document Header (FI). One record per accounting document.
BKPF;XREORG;;STRING;;;SAP technical field (XREORG). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xreorg;Accounting Document Header (FI). One record per accounting document.
BKPF;XREVERSAL;;STRING;;;SAP technical field (XREVERSAL). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xreversal;Accounting Document Header (FI). One record per accounting document.
BKPF;XRUEB;;STRING;;;SAP technical field (XRUEB). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xrueb;Accounting Document Header (FI). One record per accounting document.
BKPF;XSNET;;STRING;;;SAP technical field (XSNET). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xsnet;Accounting Document Header (FI). One record per accounting document.
BKPF;XSPLIT;;STRING;;;SAP technical field (XSPLIT). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xsplit;Accounting Document Header (FI). One record per accounting document.
BKPF;XSTOV;;STRING;;;SAP technical field (XSTOV). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xstov;Accounting Document Header (FI). One record per accounting document.
BKPF;XUSVR;;STRING;;;SAP technical field (XUSVR). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xusvr;Accounting Document Header (FI). One record per accounting document.
BKPF;XWVOF;;STRING;;;SAP technical field (XWVOF). Consult SE11 ABAP Data Dictionary for full description.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Xwvof;Accounting Document Header (FI). One record per accounting document.
BKPF;YEAR;;INT;;;Partition year (integer). Part of the Delta Lake partition scheme: YEAR/MONTH/DAY.;;prd_r2r.db_prep_r2r_sap_rp0.tb_bkpf;Year;Accounting Document Header (FI). One record per accounting document.
DD07T;AS4LOCAL;;STRING;;;Activation status of the domain definition ('A'=Active).;;prd_gvr.db_prep_gvr_sap_rp0.tb_dd07t;Status;Domain Value Texts (ABAP Dictionary). Stores descriptions for all SAP domain fixed values across modules. Filter by DOMNAME to get texts for a specific code set.
DD07T;AS4VERS;;STRING;;;Version number of the domain definition.;;prd_gvr.db_prep_gvr_sap_rp0.tb_dd07t;Version;Domain Value Texts (ABAP Dictionary). Stores descriptions for all SAP domain fixed values across modules. Filter by DOMNAME to get texts for a specific code set.
DD07T;DAY;;INT;;;Partition day (integer). Part of the Delta Lake partition scheme: YEAR/MONTH/DAY.;;prd_gvr.db_prep_gvr_sap_rp0.tb_dd07t;Day;Domain Value Texts (ABAP Dictionary). Stores descriptions for all SAP domain fixed values across modules. Filter by DOMNAME to get texts for a specific code set.
DD07T;DDLANGUAGE;;STRING;;;Language key for the domain value text.;;prd_gvr.db_prep_gvr_sap_rp0.tb_dd07t;Language;Domain Value Texts (ABAP Dictionary). Stores descriptions for all SAP domain fixed values across modules. Filter by DOMNAME to get texts for a specific code set.
